input_text,target_text
右侧 | b柱下部区域 | 电气线束 | 连接 | 连接器,在右侧b柱下部区域，将电气线束连接到连接器。
电气连接器 | 冷却器膨胀阀 | 相连,将电气连接器与冷却器膨胀阀相连。警告将红色锁片按到连接器中以接合锁定机制。切勿向下按或向上拉红色锁片。
拆下 | 左和右后 | 车轮 | 请参阅轮毂,拆下左和右后车轮。请参阅轮毂。
关闭 | 前备箱盖 | 车门 | 车窗,关闭前备箱盖、车门和车窗。
安装 | 新螺栓 | 高压电池负极触点开关 | 负极母排 | 拧紧 | 油性记号笔 | 标记 | 螺栓 | 9nm,安装新螺栓，将高压电池负极触点开关固定到负极母排上，拧紧后，使用油性记号笔标记该螺栓。9nm
拆下 | 空调吸入管路 | 冷凝器风扇模块 | 螺母 | 拆下 | 管路 | 22nm,拆下将空调吸入管路固定到冷凝器风扇模块的螺母，然后拆下管路。22nm
控制台总成 | 拆下 | 滑盖,从控制台总成上拆下滑盖。
松开 | 左前 | 车门线束 | 左车身控制器模块 | 夹子,松开将左前车门线束固定到左车身控制器模块的夹子。
玻璃 | 后面 | 底部内角 | 插入 | 一个 | 塑料饰板工具 | 松开 | 门镜玻璃 | 门镜总成 | 锁片,向玻璃后面的底部内角中插入一个塑料饰板工具，然后小心地松开将门镜玻璃固定到门镜总成的锁片。
扰流板夹具专用工具 | 装配 | 后扰流板,在扰流板夹具专用工具之间干式装配后扰流板。图2.左如图所示，右类似注此时不要揭除扰流板胶面保护条。
座垫 | 座椅靠背按钮 | 安装 | 外侧 | 护板 | 紧固 | 座垫 | 座椅靠背按钮 | 驾驶位座椅靠背 | 座垫调节开关 | 夹子,将座垫和座椅靠背按钮安装到外侧护板上，然后紧固将座垫和座椅靠背按钮固定到驾驶位座椅靠背和座垫调节开关的夹子。
按照一次一个的频率 | 扭动 | 拉出 | 侧纵梁系带 | 侧纵梁饰板 | 拆下,按照一次一个的频率，扭动并拉出侧纵梁系带，将其从侧纵梁饰板上拆下。警告切勿从车身侧面拆下侧纵梁饰板系带。如果从车身侧面拆下，则需要更换系带。
安装 | 供暖、通风和空调气室外部槽口 | 请参阅风管暖通空调集气室外,安装供暖、通风和空调气室外部槽口。请参阅风管暖通空调集气室外。
转向柱 | 拆下 | 下部 | 护罩,从转向柱上拆下下部护罩
拆下 | 高压控制器 | 内部 | 配电盒罩 | 螺栓,拆下并弃用将高压控制器从内部固定到配电盒罩的螺栓。图1.5螺栓高压控制器配电盒罩图2.4螺栓高压控制器配电盒罩图3.3螺栓高压控制器配电盒罩
震动软管支架 | 安装 | 左前 | 万向节 | 安装 | 支架 | 万向节 | 螺栓 | 5nm,将震动软管支架安装到左前万向节上，然后安装将支架固定到万向节的螺栓。5nm
安装 | 右脚部空间总成 | 夹子,安装固定右脚部空间总成的夹子注4个推拉式夹
如果要安装的高压控制器此前已拆下 | 继续执行该程序来安装配电盒罩 | 请参阅盖板配电盒,如果要安装的高压控制器此前已拆下，继续执行该程序来安装配电盒罩。请参阅盖板配电盒。注不要返回此程序。
拆下 | 左前 | 制动盘 | 万向节 | 螺栓,拆下将左前制动盘固定到万向节的螺栓。注10毫米。扭矩5nm。
紧固 | 后驱动单元逆变器入口软管 | 高压电池 | 桶型夹,紧固将后驱动单元逆变器入口软管固定到高压电池的桶型夹。
前流线型护板 | 安装 | 车辆 | 底部 | 拧紧 | 螺母 | 护板 | 固定,将前流线型护板安装到车辆底部，然后用手拧紧螺母，以暂时将护板固定到位。
拆下 | 带扣 | 座椅滑轨 | 耐落螺栓 | 拆下 | 带扣 | 40nm,拆下并弃用将带扣固定到座椅滑轨的耐落螺栓，然后拆下带扣。40nm
紧固 | 后驱动单元接地线束 | 后副框架 | 夹子,紧固将后驱动单元接地线束固定到后副框架的夹子。
拆下 | 扶手总成 | 座椅靠背 | 螺栓 | 15nm,拆下将扶手总成固定到座椅靠背的螺栓。15nm
后备箱 | 拆下 | 支架,从后备箱上拆下支架。
松开 | 锁片 | 断开 | 高压和温度过冷式传感器 | 电气连接器,松开锁片，然后断开高压和温度过冷式传感器上的电气连接器。警告切勿向下按红色锁片。将锁片朝远离连接器的方向拉，直至连接器解锁，然后继续拉以松开连接器。图6.为清晰起见，隐藏了部分组件
冷却液罐 | 放置 | 超级歧管,将冷却液罐放置到超级歧管上以便于安装注使用硅胶o型环润滑剂润滑冷却液罐o型环；确认冷却液罐o型环已正确置于冷却液罐上；将冷却液罐出口管放置到超级歧管冷却液入口上
拆下 | 左前 | 平衡杆 | 前平衡连杆 | 螺母 | 前平衡连杆 | 置于 | 一旁,拆下并弃用将左前平衡杆固定到前平衡连杆的螺母，然后将前平衡连杆置于一旁。
如果高压电池替换件配有高压电池中梁滑板 | 转到第130步,如果高压电池替换件配有高压电池中梁滑板，请转到第130步。
左侧 | isofix杆 | 上方 | 对齐 | 行李箱毡毯,在左侧isofix杆上方对齐行李箱毡毯注2根杆
后车门 | 拆下 | 左后车门内侧密封条 | 请参阅密封内侧皮带后车门左,从后车门上拆下左后车门内侧密封条。请参阅密封内侧皮带后车门左。
松开 | 左剪力板 | 副框架 | 大号螺栓 | 剪力板 | 移回 | 拧紧 | 螺栓,松开将左剪力板固定到副框架的大号螺栓，将剪力板移回原位，然后重新拧紧螺栓。
拧紧 | 横梁 | 暖通空调模块 | 螺栓,拧紧将横梁固定到暖通空调模块的螺栓注4个螺栓，10毫米，5.5nm
转动 | 轮毂 | 松开 | 上部 | 底部 | 轮胎胎圈 | 轮毂 | 旋转 | 润滑 | 胎圈,转动轮毂，松开上部和底部轮胎胎圈。随着轮毂的旋转润滑胎圈。警告胎压监控系统传感器位于轮辋旁边。松开上部胎圈时，切勿损坏胎压监控系统传感器。
打开 | 左后 | 车门 | 降下 | 车窗,打开左后车门，降下车窗。
